Amazon Turk ID,ProcessDataID,Experiment,Condition,Gender,Age,3. American Indian or Alaskan Native [Question: Which of the following best describes you? Select all that apply.],3. Asian or Asian American [Question: Which of the following best describes you? Select all that apply.],3. Black or African American [Question: Which of the following best describes you? Select all that apply.],3. Hispanic/Latino [Question: Which of the following best describes you? Select all that apply.],3. Native Hawaiian or Other Pacific Islander [Question: Which of the following best describes you? Select all that apply.],3. White [Question: Which of the following best describes you? Select all that apply.],4. Educational attainment,5. Undergraduate major field,5. Other (please specify): Specify [Question: Undergraduate major field],"6. Science (e.g., physics, chemistry, biology, geology) [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.]","6. Engineering (e.g., chemical, civil, electrical, mechanical) [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.]","6. Computer science (e.g., programming, interface design, data management) [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.]","6. Mathematics (e.g., calculus, statistics) [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.]",6. Education [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.],6. None of the above [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.],7. What is your first language?
A0533430WOF7V9XR82TB,A0533430WOF7V,1,3,Female,24,-,-,-,-,-,White,Bachelor’s degree,Other (please specify):,Theatre,-,-,-,-,-,None of the above,English
A100Y89FZO4J0B,A100Y89FZO4J0,1,4,Female,29,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A104V8NZIQFN2F,A104V8NZIQFN2,1,3,Male,40,-,-,-,-,-,White,"Associate’s degree, occupational","Science or related fields (e.g., physical science, technology, engineering)",,-,"Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A10BH9PYCYUKDJ,A10BH9PYCYUKD,1,2,Female,38,-,-,Black or African American,-,-,-,"Associate’s degree, occupational","Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,-,-,-,English
A11BSFO4LMHPXQ,A11BSFO4LMHPX,1,1,Female,40,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,-,None of the above,English
A11ECAX3S2P9FA,A11ECAX3S2P9F,1,3,Female,29,-,-,Black or African American,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,Education,-,ENGLISH
A11KP7FK5KS9H1,A11KP7FK5KS9H,1,4,Female,30,-,-,-,Hispanic/Latino,-,-,Master’s degree,Other (please specify):,Education,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",Education,-,English
A11P1OS26E6AMO,A11P1OS26E6AM,1,1,Male,33,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)",-,"Mathematics (e.g., calculus, statistics)",-,-,English
A11S8IAAVDXCUS,A11S8IAAVDXCU,1,2,Female,28,-,-,-,-,-,White,"Associate’s degree, occupational",Other (please specify):,,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A11WCFPJSR5VZP,A11WCFPJSR5VZ,1,4,Female,30,-,-,-,-,-,White,Bachelor’s degree,Other (please specify):,,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
